package,package_version,layer_version_arn,time_to_live
pyqldb,1.0.0rc2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pyqldb:14,18-03-2020
aws-xray-sdk,2.4.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-aws-xray-sdk:25,18-03-2020
pandas,1.0.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pandas:15,
ansible,2.9.4,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-ansible:17,18-03-2020
spacy,2.2.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-spacy:19,
tablib,1.1.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-tablib:10,
idna,2.9,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-idna:2,
kafka-python,2.0.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-kafka-python:3,
google-auth,1.11.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-google-auth:13,
aiohttp,3.6.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-aiohttp:19,
tldextract,2.2.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-tldextract:15,
grpcio,1.27.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-grpcio:10,
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:19,
boto3,1.12.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-boto3:35,
aws-xray-sdk,2.4.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-aws-xray-sdk:26,
aiobotocore,0.11.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-aiobotocore:22,
pyqldb,1.0.0rc2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pyqldb:15,
ansible,2.9.5,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-ansible:18,
